model_name,fold_id,test_n,positive_n,negative_n,best_c,fixed_l1_ratio,precision,recall,specificity,f1,accuracy,roc_auc,brier,log_loss,tn,fp,fn,tp
combined_lasso,2,81,64,17,1.0,1.0,0.8840579710144928,0.953125,0.5294117647058824,0.9172932330827067,0.8641975308641975,0.9090073529411765,0.08928870034960425,0.30383531083451565,9,8,3,61
combined_lasso,3,81,64,17,10.0,1.0,0.8513513513513513,0.984375,0.35294117647058826,0.9130434782608695,0.8518518518518519,0.8740808823529412,0.10846937333780543,0.34623643947596955,6,11,1,63
combined_lasso,4,81,64,17,3.0,1.0,0.8805970149253731,0.921875,0.5294117647058824,0.9007633587786259,0.8395061728395061,0.880514705882353,0.10879741413358539,0.34400510228204256,9,8,5,59
combined_lasso,5,81,63,18,1.0,1.0,0.7916666666666666,0.9047619047619048,0.16666666666666666,0.8444444444444444,0.7407407407407407,0.7548500881834215,0.15758388120516476,0.47542262193399965,3,15,6,57
combined_lasso,6,82,64,18,10.0,1.0,0.8115942028985508,0.875,0.2777777777777778,0.8421052631578947,0.7439024390243902,0.7300347222222222,0.16169596617496917,0.5192728745375927,5,13,8,56
combined_lasso,7,81,64,17,1.0,1.0,0.8507462686567164,0.890625,0.4117647058823529,0.8702290076335878,0.7901234567901234,0.7527573529411765,0.15975186651138298,0.5090835494999825,7,10,7,57
combined_lasso,8,81,64,17,1.0,1.0,0.8714285714285714,0.953125,0.47058823529411764,0.9104477611940298,0.8518518518518519,0.8768382352941176,0.1009204931477706,0.32906953944106526,8,9,3,61
combined_lasso,9,81,64,17,3.0,1.0,0.8356164383561644,0.953125,0.29411764705882354,0.8905109489051095,0.8148148148148148,0.8924632352941175,0.11280804936539093,0.3437543507317371,5,12,3,61
combined_lasso,10,81,63,18,0.3,1.0,0.855072463768116,0.9365079365079365,0.4444444444444444,0.8939393939393939,0.8271604938271605,0.8447971781305114,0.12266445828946446,0.3832624964939746,8,10,4,59
combined_lasso,11,82,64,18,10.0,1.0,0.8378378378378378,0.96875,0.3333333333333333,0.8985507246376812,0.8292682926829268,0.853298611111111,0.11356809566809699,0.36662307705032754,6,12,2,62
combined_lasso,12,81,64,17,1.0,1.0,0.8428571428571429,0.921875,0.35294117647058826,0.8805970149253731,0.8024691358024691,0.8566176470588236,0.1198973556625749,0.36963080888985067,6,11,5,59
combined_lasso,13,81,64,17,3.0,1.0,0.8285714285714286,0.90625,0.29411764705882354,0.8656716417910447,0.7777777777777778,0.8152573529411764,0.14169561130436995,0.48334430014281055,5,12,6,58
combined_lasso,14,81,64,17,0.3,1.0,0.8378378378378378,0.96875,0.29411764705882354,0.8985507246376812,0.8271604938271605,0.8235294117647058,0.11982235644624722,0.38887368058824345,5,12,2,62
combined_lasso,15,81,63,18,0.3,1.0,0.8591549295774648,0.9682539682539683,0.4444444444444444,0.9104477611940298,0.8518518518518519,0.7883597883597884,0.13157682300220172,0.41651673848229603,8,10,2,61
combined_lasso,16,82,64,18,0.3,1.0,0.8243243243243243,0.953125,0.2777777777777778,0.8840579710144928,0.8048780487804879,0.8741319444444444,0.11850608010400285,0.3674118027619255,5,13,3,61
combined_lasso,17,81,64,17,1.0,1.0,0.8873239436619719,0.984375,0.5294117647058824,0.9333333333333333,0.8888888888888888,0.9273897058823529,0.09151966563356749,0.2990808672469627,9,8,1,63
combined_lasso,18,81,64,17,0.3,1.0,0.8266666666666667,0.96875,0.23529411764705882,0.8920863309352518,0.8148148148148148,0.6672794117647058,0.15581231991663289,0.484794190193035,4,13,2,62
combined_lasso,19,81,64,17,10.0,1.0,0.8472222222222222,0.953125,0.35294117647058826,0.8970588235294118,0.8271604938271605,0.8731617647058824,0.12310049847201053,0.4048543565533073,6,11,3,61
combined_lasso,20,81,63,18,0.3,1.0,0.8333333333333334,0.9523809523809523,0.3333333333333333,0.8888888888888888,0.8148148148148148,0.8192239858906525,0.12978414793038254,0.4085163400021301,6,12,3,60
combined_lasso,21,82,64,18,3.0,1.0,0.84,0.984375,0.3333333333333333,0.9064748201438849,0.8414634146341463,0.8394097222222222,0.11277347129446944,0.3808373723885647,6,12,1,63
combined_lasso,22,81,64,17,0.3,1.0,0.8181818181818182,0.984375,0.17647058823529413,0.8936170212765957,0.8148148148148148,0.7536764705882353,0.14125768066050642,0.4393421945852719,3,14,1,63
combined_lasso,23,81,64,17,3.0,1.0,0.8709677419354839,0.84375,0.5294117647058824,0.8571428571428571,0.7777777777777778,0.8345588235294117,0.14307054753999626,0.4362245832671215,9,8,10,54
combined_lasso,24,81,64,17,3.0,1.0,0.8840579710144928,0.953125,0.5294117647058824,0.9172932330827067,0.8641975308641975,0.8612132352941176,0.10620064160992797,0.3469290210734724,9,8,3,61
combined_lasso,25,81,63,18,1.0,1.0,0.855072463768116,0.9365079365079365,0.4444444444444444,0.8939393939393939,0.8271604938271605,0.8677248677248677,0.11879073486220816,0.37890558796567825,8,10,4,59
combined_lasso,26,82,64,18,3.0,1.0,0.90625,0.90625,0.6666666666666666,0.90625,0.8536585365853658,0.8532986111111112,0.12073858467296515,0.40370586888495386,12,6,6,58
combined_lasso,27,81,64,17,1.0,1.0,0.8333333333333334,0.9375,0.29411764705882354,0.8823529411764706,0.8024691358024691,0.8005514705882353,0.13529457156440095,0.42097235335013294,5,12,4,60
