model_name,fold_id,test_n,positive_n,negative_n,best_c,best_l1_ratio,precision,recall,specificity,f1,accuracy,roc_auc,brier,log_loss,tn,fp,fn,tp
combined_balanced,39,81,64,17,1.0,1.0,0.9433962264150944,0.78125,0.8235294117647058,0.8547008547008547,0.7901234567901234,0.8823529411764706,0.14914301201571187,0.4780620838871046,14,3,14,50
combined_balanced,40,81,63,18,10.0,0.0,0.859375,0.873015873015873,0.5,0.8661417322834646,0.7901234567901234,0.7857142857142856,0.150332498830785,0.49125570030522203,9,9,8,55
combined_balanced,41,82,64,18,1.0,0.0,0.896551724137931,0.8125,0.6666666666666666,0.8524590163934426,0.7804878048780488,0.8402777777777778,0.15087945380142379,0.45496242087265265,12,6,12,52
combined_balanced,42,81,64,17,1.0,0.5,0.9444444444444444,0.796875,0.8235294117647058,0.864406779661017,0.8024691358024691,0.8501838235294118,0.15579833370698432,0.4987088036834275,14,3,13,51
combined_balanced,43,81,64,17,1.0,1.0,0.9322033898305084,0.859375,0.7647058823529411,0.8943089430894309,0.8395061728395061,0.8713235294117646,0.14088150121537238,0.4563752264630479,13,4,9,55
combined_balanced,44,81,64,17,1.0,0.0,0.9298245614035088,0.828125,0.7647058823529411,0.8760330578512396,0.8148148148148148,0.859375,0.15061127888562495,0.48728113749842233,13,4,11,53
combined_balanced,45,81,63,18,1.0,1.0,0.8888888888888888,0.7619047619047619,0.6666666666666666,0.8205128205128205,0.7407407407407407,0.7742504409171076,0.17898173438808518,0.5373281350092822,12,6,15,48
combined_balanced,46,82,64,18,10.0,0.0,0.9259259259259259,0.78125,0.7777777777777778,0.847457627118644,0.7804878048780488,0.8142361111111112,0.1626704978427054,0.5260274675324365,14,4,14,50
combined_balanced,47,81,64,17,1.0,0.0,0.9245283018867925,0.765625,0.7647058823529411,0.8376068376068376,0.7654320987654321,0.8584558823529411,0.1595423935876834,0.4828998661248911,13,4,15,49
combined_balanced,48,81,64,17,1.0,0.0,0.8947368421052632,0.796875,0.6470588235294118,0.8429752066115702,0.7654320987654321,0.8437500000000001,0.1480098741972697,0.4438840735285674,11,6,13,51
combined_balanced,49,81,64,17,1.0,0.0,0.9272727272727272,0.796875,0.7647058823529411,0.8571428571428571,0.7901234567901234,0.8777573529411764,0.1438533670714866,0.45672491433214996,13,4,13,51
combined_balanced,50,81,63,18,1.0,0.75,0.8833333333333333,0.8412698412698413,0.6111111111111112,0.8617886178861789,0.7901234567901234,0.8024691358024691,0.17118490786687657,0.5229512583909551,11,7,10,53
combined_unweighted,1,82,64,18,10.0,0.0,0.8461538461538461,0.859375,0.4444444444444444,0.8527131782945736,0.7682926829268293,0.828125,0.14034014326856623,0.4538129959094737,8,10,9,55
combined_unweighted,2,81,64,17,1.0,0.5,0.8840579710144928,0.953125,0.5294117647058824,0.9172932330827067,0.8641975308641975,0.9117647058823529,0.08874852166675605,0.3024418535450516,9,8,3,61
combined_unweighted,3,81,64,17,10.0,0.25,0.8533333333333334,1.0,0.35294117647058826,0.920863309352518,0.8641975308641975,0.8777573529411764,0.10724102920258906,0.34274868500189987,6,11,0,64
combined_unweighted,4,81,64,17,1.0,0.75,0.8695652173913043,0.9375,0.47058823529411764,0.9022556390977443,0.8395061728395061,0.8768382352941175,0.1116387190062433,0.35176629618167077,8,9,4,60
combined_unweighted,5,81,63,18,1.0,1.0,0.7916666666666666,0.9047619047619048,0.16666666666666666,0.8444444444444444,0.7407407407407407,0.7548500881834215,0.15758388120516476,0.47542262193399965,3,15,6,57
