threshold,selected_n,selected_percent,precision,recall,specificity,npv,f1,tn,fp,fn,tp,youden_j
0.73,293,72.16748768472905,0.9180887372013652,0.8432601880877743,0.7241379310344828,0.5575221238938053,0.8790849673202614,63,24,50,269,0.567398119122257
0.74,289,71.18226600985221,0.9204152249134948,0.8338557993730408,0.735632183908046,0.5470085470085471,0.875,64,23,53,266,0.5694879832810869
0.75,286,70.44334975369459,0.9230769230769231,0.8275862068965517,0.7471264367816092,0.5416666666666666,0.8727272727272727,65,22,55,264,0.5747126436781609
0.76,283,69.70443349753694,0.9257950530035336,0.8213166144200627,0.7586206896551724,0.5365853658536586,0.8704318936877077,66,21,57,262,0.5799373040752349
0.77,279,68.7192118226601,0.931899641577061,0.8150470219435737,0.7816091954022989,0.5354330708661418,0.8695652173913043,68,19,59,260,0.5966562173458727
0.78,274,67.48768472906403,0.9306569343065694,0.799373040752351,0.7816091954022989,0.5151515151515151,0.8600337268128162,68,19,64,255,0.58098223615465
0.79,268,66.00985221674877,0.9291044776119403,0.780564263322884,0.7816091954022989,0.4927536231884058,0.848381601362862,68,19,70,249,0.5621734587251828
0.8,261,64.28571428571429,0.9310344827586207,0.7617554858934169,0.7931034482758621,0.47586206896551725,0.8379310344827586,69,18,76,243,0.5548589341692791
0.81,260,64.03940886699507,0.9307692307692308,0.7586206896551724,0.7931034482758621,0.4726027397260274,0.8359240069084629,69,18,77,242,0.5517241379310345
0.82,254,62.5615763546798,0.9330708661417323,0.7429467084639498,0.8045977011494253,0.4605263157894737,0.8272251308900523,70,17,82,237,0.547544409613375
0.83,246,60.591133004926114,0.9308943089430894,0.7178683385579937,0.8045977011494253,0.4375,0.8106194690265487,70,17,90,229,0.522466039707419
0.84,240,59.11330049261084,0.9291666666666667,0.6990595611285266,0.8045977011494253,0.42168674698795183,0.7978533094812165,70,17,96,223,0.5036572622779518
0.85,235,57.88177339901478,0.9276595744680851,0.6833855799373041,0.8045977011494253,0.4093567251461988,0.7870036101083032,70,17,101,218,0.4879832810867293
0.86,226,55.66502463054187,0.9292035398230089,0.658307210031348,0.8160919540229885,0.39444444444444443,0.7706422018348624,71,16,109,210,0.47439916405433635
0.87,222,54.679802955665025,0.9369369369369369,0.6520376175548589,0.8390804597701149,0.3967391304347826,0.7689463955637708,73,14,111,208,0.4911180773249737
0.88,215,52.95566502463054,0.9395348837209302,0.6332288401253918,0.8505747126436781,0.387434554973822,0.7565543071161048,74,13,117,202,0.48380355276907006
0.89,201,49.50738916256158,0.9402985074626866,0.5924764890282131,0.8620689655172413,0.36585365853658536,0.7269230769230769,75,12,130,189,0.4545454545454546
0.9,188,46.30541871921182,0.9468085106382979,0.5579937304075235,0.8850574712643678,0.3532110091743119,0.7021696252465484,77,10,141,178,0.44305120167189127
0.91,176,43.34975369458128,0.9431818181818182,0.5203761755485894,0.8850574712643678,0.3347826086956522,0.6707070707070707,77,10,153,166,0.40543364681295735
